Czas wejścia;Czas wykonania
1;33
1;55
2;45
2;54
3;48
4;9
5;31
5;73
5;14
5;10
6;57
7;60
8;32
8;6
8;29
8;111
9;34
9;20
9;46
9;34
10;61
10;45
10;15
10;10
10;13
11;13
11;78
11;18
11;45
12;7
12;38
12;71
14;50
14;63
14;27
14;124
14;31
15;17
15;58
16;12
16;14
16;39
16;23
17;48
17;13
18;4
20;4
20;52
20;78
21;8
21;11
21;46
22;69
23;81
23;1
24;27
24;121
24;128
24;60
25;75
26;36
27;50
27;15
27;14
27;10
28;43
28;51
28;52
28;64
30;32
30;17
31;11
31;98
31;59
32;81
33;46
33;40
33;87
33;24
34;14
35;4
35;58
36;7
36;29
36;51
37;10
37;70
37;113
39;48
39;8
39;129
39;90
40;56
40;131
40;61
40;19
40;10
40;1
41;92
41;10
41;40
41;66
41;22
42;79
42;17
43;1
43;77
43;119
44;26
45;19
45;23
45;45
46;1
47;23
47;27
47;85
48;60
49;6
50;32
50;32
51;30
51;43
51;1
52;12
52;62
53;48
53;75
53;53
54;38
54;12
54;46
55;70
55;38
55;82
55;54
55;84
56;91
56;26
56;3
57;27
57;54
57;64
57;72
57;65
58;4
58;36
58;45
58;75
59;8
60;28
60;91
60;92
60;24
61;68
61;83
62;78
62;4
62;4
62;61
63;46
63;77
63;18
63;12
64;85
64;20
64;10
64;107
64;20
65;1
66;22
66;43
66;67
66;33
67;27
67;27
67;55
68;85
68;92
69;52
69;31
69;32
69;15
70;78
71;106
71;36
72;45
73;39
74;29
74;83
74;91
75;21
75;7
76;26
76;58
77;20
77;8
78;30
78;35
78;31
78;48
80;66
80;49
81;34
81;42
82;17
83;66
83;9
84;59
84;19
84;5
85;49
85;26
85;47
86;3
86;22
86;87
86;15
87;43
87;57
88;17
88;59
88;15
88;98
90;38
90;9
90;41
91;40
91;14
91;53
94;62
95;28
95;45
95;37
95;107
95;38
95;46
96;13
96;46
97;51
97;1
97;54
98;13
98;53
99;7
99;52
99;38
99;18
100;14
100;12
100;67
